#miRNA	read_count	precursor	total	F01	F02	F03	F01(norm)	F02(norm)	F03(norm)
bta-miR-2285n	0.00	bta-mir-2285n-1	0.00	0	0	0	0	0	0
bta-miR-2285n	0.00	bta-mir-2285n-2	0.00	0	0	0	0	0	0
bta-miR-2285n	0.00	bta-mir-2285n-3	0.00	0	0	0	0	0	0
bta-miR-2285n	0.00	bta-mir-2285n-4	0.00	0	0	0	0	0	0
bta-miR-2285n	0.00	bta-mir-2285n-5	0.00	0	0	0	0	0	0
bta-miR-2285n	0.00	bta-mir-2285n-6	0.00	0	0	0	0	0	0
bta-miR-2285n	1.00	bta-mir-2285n-7	1.00	1.00	0	0	330.14	0	0
bta-miR-2285o	0.00	bta-mir-2285o-1	0.00	0	0	0	0	0	0
bta-miR-2285o	0.00	bta-mir-2285o-2	0.00	0	0	0	0	0	0
bta-miR-2285o	0.00	bta-mir-2285o-3	0.00	0	0	0	0	0	0
bta-miR-2285u	0.00	bta-mir-2285o-3	0.00	0	0	0	0	0	0
bta-miR-2285o	0.00	bta-mir-2285o-4	0.00	0	0	0	0	0	0
bta-miR-2285o	0.00	bta-mir-2285o-5	0.00	0	0	0	0	0	0
bta-miR-2285p	0.00	bta-mir-2285p	0.00	0	0	0	0	0	0
