#miRNA	read_count	precursor
bta-miR-2352	0	bta-mir-2352
bta-miR-2353	0	bta-mir-2353
bta-miR-2354	0	bta-mir-2354
bta-miR-2355-5p	0	bta-mir-2355
bta-miR-2355-3p	0	bta-mir-2355
bta-miR-2356	0	bta-mir-2356
bta-miR-2357	0	bta-mir-2357
bta-miR-2358	0	bta-mir-2358
bta-miR-2359	0	bta-mir-2359
bta-miR-2360	0	bta-mir-2360
bta-miR-2361	0	bta-mir-2361
bta-miR-2362	0	bta-mir-2362
bta-miR-2363	0	bta-mir-2363-1
bta-miR-2363	0	bta-mir-2363-2
bta-miR-2364	0	bta-mir-2364
bta-miR-2365	0	bta-mir-2365
bta-miR-2366	0	bta-mir-2366
bta-miR-2367-5p	0	bta-mir-2367
bta-miR-2367-3p	0	bta-mir-2367
bta-miR-2368-5p	0	bta-mir-2368
bta-miR-2368-3p	0	bta-mir-2368
bta-miR-2369	0	bta-mir-2369
bta-miR-2370-5p	0	bta-mir-2370
bta-miR-2370-3p	0	bta-mir-2370
bta-miR-2371	0	bta-mir-2371
bta-miR-2372	0	bta-mir-2372
bta-miR-2373-5p	0	bta-mir-2373
bta-miR-2373-3p	0	bta-mir-2373
bta-miR-2374	0	bta-mir-2374
bta-miR-2375	0	bta-mir-2375
bta-miR-2376	0	bta-mir-2376
bta-miR-2377	0	bta-mir-2377
bta-miR-2378	0	bta-mir-2378
bta-miR-2379	0	bta-mir-2379
bta-miR-2380	0	bta-mir-2380
bta-miR-2381	0	bta-mir-2381
bta-miR-2382-5p	0	bta-mir-2382
bta-miR-2382-3p	0	bta-mir-2382
bta-miR-2383	0	bta-mir-2383
bta-miR-2384	0	bta-mir-2384
bta-miR-2385-5p	0	bta-mir-2385
bta-miR-2385-3p	0	bta-mir-2385
bta-miR-2386	0	bta-mir-2386
bta-miR-2387	0	bta-mir-2387
bta-miR-2388-5p	0	bta-mir-2388
bta-miR-2388-3p	0	bta-mir-2388
bta-miR-2389	0	bta-mir-2389
bta-miR-2390	0	bta-mir-2390
bta-miR-2392	0	bta-mir-2392
bta-miR-2393	0	bta-mir-2393
bta-miR-2394	0	bta-mir-2394
bta-miR-2395	0	bta-mir-2395
bta-miR-2396	0	bta-mir-2396
bta-miR-2397-5p	0	bta-mir-2397
bta-miR-2397-3p	0	bta-mir-2397
bta-miR-2398	0	bta-mir-2398
bta-miR-2399-5p	0	bta-mir-2399
bta-miR-2399-3p	0	bta-mir-2399
bta-miR-23a	4	bta-mir-23a
bta-miR-23b-5p	0	bta-mir-23b
bta-miR-23b-3p	1	bta-mir-23b
bta-miR-24-3p	3	bta-mir-24-1
bta-miR-24	1	bta-mir-24-1
bta-miR-24-3p	3	bta-mir-24-2
bta-miR-2400	0	bta-mir-2400
bta-miR-2401	0	bta-mir-2401
bta-miR-2402	0	bta-mir-2402
bta-miR-2403	0	bta-mir-2403
bta-miR-2404	0	bta-mir-2404-1
bta-miR-2404	0	bta-mir-2404-2
bta-miR-2405	0	bta-mir-2405
bta-miR-2406	0	bta-mir-2406
bta-miR-2407	0	bta-mir-2407
bta-miR-2408	0	bta-mir-2408
bta-miR-2409	0	bta-mir-2409
bta-miR-2410	0	bta-mir-2410
bta-miR-2411-5p	0	bta-mir-2411
bta-miR-2411-3p	0	bta-mir-2411
bta-miR-2412	0	bta-mir-2412
bta-miR-2413	0	bta-mir-2413
bta-miR-2414	0	bta-mir-2414
bta-miR-2415-5p	0	bta-mir-2415
bta-miR-2415-3p	0	bta-mir-2415
bta-miR-2416	0	bta-mir-2416
bta-miR-2417	0	bta-mir-2417
bta-miR-2418	0	bta-mir-2418
bta-miR-2419-5p	0	bta-mir-2419
bta-miR-2419-3p	0	bta-mir-2419
bta-miR-2420	0	bta-mir-2420
bta-miR-2421	0	bta-mir-2421
bta-miR-2422	0	bta-mir-2422
bta-miR-2423	0	bta-mir-2423
bta-miR-2424	0	bta-mir-2424
bta-miR-2425-5p	0	bta-mir-2425
bta-miR-2425-3p	0	bta-mir-2425
bta-miR-2426	0	bta-mir-2426
bta-miR-2427	0	bta-mir-2427
bta-miR-2428	0	bta-mir-2428
bta-miR-2429	0	bta-mir-2429
bta-miR-2430	0	bta-mir-2430
bta-miR-2431-5p	0	bta-mir-2431
bta-miR-2431-3p	0	bta-mir-2431
bta-miR-2432	0	bta-mir-2432
bta-miR-2433	0	bta-mir-2433
bta-miR-2434	0	bta-mir-2434
bta-miR-2435	2	bta-mir-2435
bta-miR-2436-5p	0	bta-mir-2436
bta-miR-2436-3p	0	bta-mir-2436
bta-miR-2437	0	bta-mir-2437
bta-miR-2438	0	bta-mir-2438
bta-miR-2439-5p	0	bta-mir-2439
bta-miR-2439-3p	0	bta-mir-2439
bta-miR-2440	0	bta-mir-2440
bta-miR-2441	0	bta-mir-2441
bta-miR-2442	0	bta-mir-2442
bta-miR-2443	0	bta-mir-2443
bta-miR-2444	0	bta-mir-2444
bta-miR-2446	0	bta-mir-2446
bta-miR-2447	0	bta-mir-2447
bta-miR-2448-5p	0	bta-mir-2448
bta-miR-2448-3p	0	bta-mir-2448
bta-miR-2449	0	bta-mir-2449
bta-miR-2450a	0	bta-mir-2450a
bta-miR-2450b	0	bta-mir-2450b
bta-miR-2450c	0	bta-mir-2450c
bta-miR-2450d	0	bta-mir-2450d
bta-miR-2451	0	bta-mir-2451
bta-miR-2452	0	bta-mir-2452
bta-miR-2453	0	bta-mir-2453
bta-miR-2454-5p	0	bta-mir-2454
bta-miR-2454-3p	0	bta-mir-2454
bta-miR-2455	0	bta-mir-2455
bta-miR-2456	0	bta-mir-2456
bta-miR-2457	0	bta-mir-2457
bta-miR-2458	0	bta-mir-2458
bta-miR-2459	0	bta-mir-2459
bta-miR-2460	0	bta-mir-2460
bta-miR-2461-5p	0	bta-mir-2461
bta-miR-2461-3p	0	bta-mir-2461
bta-miR-2462	0	bta-mir-2462
bta-miR-2463	0	bta-mir-2463
bta-miR-2464-5p	0	bta-mir-2464
bta-miR-2464-3p	0	bta-mir-2464
bta-miR-2465	0	bta-mir-2465
bta-miR-2466-5p	0	bta-mir-2466
bta-miR-2466-3p	0	bta-mir-2466
bta-miR-2467-5p	0	bta-mir-2467
bta-miR-2467-3p	0	bta-mir-2467
bta-miR-2468	0	bta-mir-2468
bta-miR-2469	0	bta-mir-2469
bta-miR-2470	0	bta-mir-2470
bta-miR-2471-5p	0	bta-mir-2471
bta-miR-2471-3p	0	bta-mir-2471
bta-miR-2472	0	bta-mir-2472
bta-miR-2473	0	bta-mir-2473
bta-miR-2474	0	bta-mir-2474
bta-miR-2475	0	bta-mir-2475
bta-miR-2477	0	bta-mir-2477
bta-miR-2478	0	bta-mir-2478
bta-miR-2479	0	bta-mir-2479
bta-miR-2480	0	bta-mir-2480
bta-miR-2481	0	bta-mir-2481
bta-miR-2482	0	bta-mir-2482
bta-miR-2483-5p	1	bta-mir-2483
bta-miR-2483-3p	0	bta-mir-2483
bta-miR-2484	0	bta-mir-2484
bta-miR-2485	0	bta-mir-2485
bta-miR-2486-5p	0	bta-mir-2486
bta-miR-2486-3p	0	bta-mir-2486
bta-miR-2488	0	bta-mir-2488
bta-miR-2489	0	bta-mir-2489
bta-miR-25	56	bta-mir-25
bta-miR-26a	22	bta-mir-26a-1
bta-miR-26a	22	bta-mir-26a-2
bta-miR-26b	0	bta-mir-26b
bta-miR-26c	0	bta-mir-26c
bta-miR-27a-5p	0	bta-mir-27a
bta-miR-27a-3p	27	bta-mir-27a
bta-miR-27b	69	bta-mir-27b
bta-miR-28	0	bta-mir-28
bta-miR-2881	0	bta-mir-2881
bta-miR-2882	0	bta-mir-2882
bta-miR-2883	0	bta-mir-2883
bta-miR-2885	0	bta-mir-2885
bta-miR-2886	0	bta-mir-2886
bta-miR-2887	0	bta-mir-2887-1
bta-miR-2887	0	bta-mir-2887-2
bta-miR-2888	0	bta-mir-2888-1
bta-miR-2888	0	bta-mir-2888-2
bta-miR-2889	0	bta-mir-2889
bta-miR-2890	0	bta-mir-2890
bta-miR-2891	0	bta-mir-2891
bta-miR-2892	0	bta-mir-2892
bta-miR-2893	0	bta-mir-2893
bta-miR-2894	0	bta-mir-2894
bta-miR-2895	0	bta-mir-2895
bta-miR-2896	0	bta-mir-2896
bta-miR-2897	0	bta-mir-2897
bta-miR-2898	0	bta-mir-2898
bta-miR-2899	0	bta-mir-2899
bta-miR-2900	0	bta-mir-2900
bta-miR-2901	0	bta-mir-2901
bta-miR-2902	0	bta-mir-2902
bta-miR-2903	0	bta-mir-2903
bta-miR-2904	0	bta-mir-2904-1
bta-miR-2904	0	bta-mir-2904-2
bta-miR-2904	0	bta-mir-2904-3
bta-miR-2917	0	bta-mir-2917
bta-miR-2957	0	bta-mir-2957
bta-miR-296-5p	1	bta-mir-296
bta-miR-296-3p	0	bta-mir-296
bta-miR-299	0	bta-mir-299
bta-miR-29a	7	bta-mir-29a
bta-miR-29b	0	bta-mir-29b-1
bta-miR-29b	0	bta-mir-29b-2
bta-miR-29c	0	bta-mir-29c
bta-miR-29d-5p	1	bta-mir-29c
bta-miR-29d-5p	1	bta-mir-29d
bta-miR-29d-3p	1	bta-mir-29d
bta-miR-29e	0	bta-mir-29e
bta-miR-301a	0	bta-mir-301a
bta-miR-301b	0	bta-mir-301b
bta-miR-302a	0	bta-mir-302a
bta-miR-302d	0	bta-mir-302a
bta-miR-302d	0	bta-mir-302b
bta-miR-302b	0	bta-mir-302b
bta-miR-302c	0	bta-mir-302c
bta-miR-302d	0	bta-mir-302d
bta-miR-3064	0	bta-mir-3064
bta-miR-30a-5p	32	bta-mir-30a
bta-miR-30b-5p	20	bta-mir-30b
bta-miR-30b-3p	0	bta-mir-30b
bta-miR-30c	26	bta-mir-30c
bta-miR-30d	152	bta-mir-30d
bta-miR-30e-5p	41	bta-mir-30e
bta-miR-30f	0	bta-mir-30f
bta-miR-31	0	bta-mir-31
bta-miR-3120	0	bta-mir-3120
bta-miR-3141	0	bta-mir-3141
bta-miR-3154	0	bta-mir-3154
bta-miR-32	1	bta-mir-32
bta-miR-320a	4	bta-mir-320a-1
bta-miR-320a	4	bta-mir-320a-2
bta-miR-320b	0	bta-mir-320b
bta-miR-323	1	bta-mir-323
bta-miR-324	0	bta-mir-324
